2000-03-15,19,Never Let You Go,Third Eye Blind
2000-03-15,20,I Need To Know,Marc Anthony
2000-03-15,21,Thank God I Found You,Mariah Carey Featuring Joe & 98 Degrees
2000-03-15,22,Everything You Want,Vertical Horizon
2000-03-15,23, Take A Picture,Filter
2000-03-15,24,From The Bottom Of My Broken Heart,Britney Spears
2000-03-15,25,I Wanna Know,Joe
2000-03-15,26,Forgot About Dre,Dr. Dre Featuring Eminem
2000-03-15,27,Then The Morning Comes,Smash Mouth
2000-03-15,28,I Learned From The Best,Whitney Houston
2000-03-15,29,I Like It,Sammie
2000-03-15,30,I Try,Macy Gray
2000-03-15,31,Untitled (How Does It Feel),D'Angelo
2000-03-15,32,Blue (Da Ba Dee),Eiffel 65
2000-03-15,33,American Pie,Madonna
2000-03-15,34,Another Dumb Blonde,Hoku
2000-03-15,35,Only God Knows Why,Kid Rock
2000-03-15,36,How Do You Like Me Now?!,Toby Keith
2000-03-15,37,Falls Apart,Sugar Ray
2000-03-15,38,I Don't Wanna,Aaliyah
2000-03-15,39,My Best Friend,Tim McGraw
2000-03-15,40,Goodbye Earl,Dixie Chicks
2000-03-15,41,The Best Day,George Strait
2000-03-15,42,Meet Virginia,Train
2000-03-15,43,You Sang To Me,Marc Anthony
2000-03-15,44,He Can't Love U,Jagged Edge
2000-03-15,45, Smile,Lonestar
2000-03-15,46,Back At One,Mark Wills
2000-03-15,47,One Night Stand,J-Shin Featuring LaTocha Scott
2000-03-15,48,Lessons Learned,Tracy Lawrence
2000-03-15,49,Otherside,Red Hot Chili Peppers
2000-03-15,50,Love Is Blind,Eve Featuring Faith Evans
2000-03-15,51,Cowboy Take Me Away,Dixie Chicks
2000-03-15,52,Love's The Only House,Martina McBride
2000-03-15,53,Whoa!,Black Rob
2000-03-15,54,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe
2000-03-15,55,Anything,JAY-Z
2000-03-15,56,Party Up (Up In Here),DMX
2000-03-15,57,Because You Love Me,Jo Dee Messina
2000-03-15,58,Been There,Clint Black With Steve Wariner
2000-03-15,59,Try Again,Aaliyah
2000-03-15,60, That's What I'm Looking For,Da Brat
2000-03-15,61,This Woman Needs,SHeDAISY
2000-03-15,62,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla
2000-03-15,63,He Wasn't Man Enough,Toni Braxton
2000-03-15,64,Carlene,Phil Vassar
2000-03-15,65, I Need A Hot Girl,Hot Boys
2000-03-15,66,Hanginaround,Counting Crows
2000-03-15,67,Private Emotion,Ricky Martin Featuring Meja
2000-03-15,68,The Way You Love Me,Faith Hill
2000-03-15,69,Do What You Gotta Do,Garth Brooks
2000-03-15,70,The Bad Touch,Bloodhound Gang
2000-03-15,71,No More Rain (In This Cloud),Angie Stone
2000-03-15,72,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean
2000-03-15,73, Left, Right, Left,Drama
2000-03-15,74,Dear Lie,TLC
2000-03-15,75,It Was,Chely Wright
2000-03-15,76,She's More,Andy Griggs
2000-03-15,77,Baby Don't Cry (Keep Ya Head Up II),2Pac + Outlawz
2000-03-15,78,Stay Or Let It Go,Brian McKnight
2000-03-15,79,The Great Beyond,R.E.M.
2000-03-15,80,No Leaf Clover,Metallica
2000-03-15,81,Daddy Won't Sell The Farm,Montgomery Gentry
2000-03-15,82,Got To Get It,Sisqo Featuring Make It Hot
2000-03-15,83,G'd Up,Snoop Dogg Presents Tha Eastsidaz
2000-03-15,84,Mr. Too Damn Good,Gerald Levert
2000-03-15,85,The Best Man I Can Be,Ginuwine, R.L., Tyrese, Case
2000-03-15,86,Ryde Or Die, Chick,The Lox Featuring Timbaland And EVE
2000-03-15,87,24/7,Kevon Edmonds
2000-03-15,88,Rhythm Divine,Enrique Iglesias
2000-03-15,89,Angels,Robbie Williams
2000-03-15,90,Re-arranged,Limp Bizkit
2000-03-15,91,Couldn't Last A Moment,Collin Raye
2000-03-15,92,None Of Ur Friends Business,Ginuwine
2000-03-15,93,Shake Your Bon-Bon,Ricky Martin
2000-03-15,94,What's My Name,DMX
2000-03-15,95,Whistle While You Twurk,Ying Yang Twins
2000-03-15,96,If You Love Me,Mint Condition
2000-03-15,97,Get Up,Amel Larrieux
2000-03-15,98,Still In My Heart,Tracie Spencer
2000-03-15,99,Put Your Hand In Mine,Tracy Byrd
2000-03-15,100,No Mercy,Ty Herndon
2000-04-15,1,Maria Maria,Santana Featuring The Product G&B
2000-04-15,2,Say My Name,Destiny's Child
2000-04-15,3,Breathe,Faith Hill
2000-04-15,4,Bye Bye Bye,'N Sync
2000-04-15,5,Amazed,Lonestar
2000-04-15,6,Thong Song,Sisqo
2000-04-15,7,There You Go,P!nk
2000-04-15,8,I Try,Macy Gray
2000-04-15,9,Show Me The Meaning Of Being Lonely,Backstreet Boys
2000-04-15,10,Get It On Tonite,Montell Jordan
2000-04-15,11,It Feels So Good,Sonique
2000-04-15,12,Smooth,Santana Featuring Rob Thomas
2000-04-15,13, Everything You Want,Vertical Horizon
2000-04-15,14,That's The Way It Is,Celine Dion
2000-04-15,15,I Wanna Know,Joe
2000-04-15,16,Never Let You Go,Third Eye Blind
2000-04-15,17,I Knew I Loved You,Savage Garden
2000-04-15,18,You Sang To Me,Marc Anthony
2000-04-15,19,Only God Knows Why,Kid Rock
2000-04-15,20,Goodbye Earl,Dixie Chicks
2000-04-15,21,Try Again,Aaliyah
2000-04-15,22,Bring It All To Me,Blaque
2000-04-15,23,All The Small Things,Blink-182
2000-04-15,24,I Like It, Sammie
2000-04-15,25,I Need To Know,Marc Anthony
2000-04-15,26, Forgot About Dre,Dr. Dre Featuring Eminem
2000-04-15,27,Back At One,Brian McKnight
2000-04-15,28,Higher,Creed
2000-04-15,29,Otherside,Red Hot Chili Peppers
2000-04-15,30,What A Girl Wants,Christina Aguilera
2000-04-15,31,How Do You Like Me Now?!,Toby Keith
2000-04-15,32,Party Up (Up In Here),DMX
2000-04-15,33,The Best Day,George Strait
2000-04-15,34,Be With You,Enrique Iglesias
2000-04-15,35,He Wasn't Man Enough,Toni Braxton
2000-04-15,36,Another Dumb Blonde,Hoku
2000-04-15,37,I Don't Wanna,Aaliyah
2000-04-15,38,Hot Boyz,Missy "Misdemeanor" Elliott Featuring NAS, EVE & Q-Tip
2000-04-15,39,I Wish,Carl Thomas
2000-04-15,40,Lessons Learned,Tracy Lawrence
2000-04-15,41,Then The Morning Comes,Smash Mouth
2000-04-15,42,Love's The Only House,Martina McBride
2000-04-15,43,Whoa!,Black Rob
2000-04-15,44,Been There,Clint Black With Steve Wariner
2000-04-15,45,From The Bottom Of My Broken Heart,Britney Spears
2000-04-15,46,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean
2000-04-15,47,Carlene,Phil Vassar
2000-04-15,48,My Best Friend,Tim McGraw
2000-04-15,49,The Way You Love Me,Faith Hill
2000-04-15,50,I Turn To You,Christina Aguilera
2000-04-15,51,Untitled (How Does It Feel),D'Angelo
2000-04-15,52,The Bad Touch,Bloodhound Gang
2000-04-15,53,I Learned From The Best,Whitney Houston
2000-04-15,54,Shackles (Praise You),Mary Mary
2000-04-15,55,She's More,Andy Griggs
2000-04-15,56,That's What I'm Looking For,Da Brat
2000-04-15,57
 ,Wobble Wobble,504 Boyz
2000-04-15,58,Crash And Burn,Savage Garden
2000-04-15,59,You Owe Me,NAS Featuring Ginuwine
2000-04-15,60,Falls Apart,Sugar Ray
2000-04-15,61,Feelin' So Good,Jennifer Lopez Featuring Big Pun & Fat Joe
2000-04-15,62,Where You Are,Jessica Simpson Featuring Nick Lachey
2000-04-15,63,I Don't Wanna Kiss You Goodnight, LFO
2000-04-15,64,It Was,Chely Wright
2000-04-15,65,Better Off Alone,Alice Deejay
2000-04-15,66,Swear It Again,Westlife
2000-04-15,67,Couldn't Last A Moment,Collin Raye
2000-04-15,68,What I Need To Do,Kenny Chesney
2000-04-15,69
 ,He Can't Love U,Jagged Edge
2000-04-15,70,Kryptonite,3 Doors Down
2000-04-15,71,I Belong To You,Lenny Kravitz
2000-04-15,72,Because You Love Me,Jo Dee Messina
2000-04-15,73,The Chain Of Love,Clay Walker
2000-04-15,74,Back At One,Mark Wills
2000-04-15,75,U Don't Love Me,Kumbia Kings Featuring A.B. Quintanilla
2000-04-15,76,Blue (Da Ba Dee),Eiffel 65
2000-04-15,77,Yes!,Chad Brock
2000-04-15,78,Smile,Lonestar
